pipeline,attack_type,n,attack_success_rate,average_score_gain,average_rank_gain
baseline,direct_prompt_injection,31,0.967741935483871,55.645161290322584,60.32258064516129
baseline,keyword_stuffing,29,1.0,23.96551724137931,30.96551724137931
baseline,resume_inflation,38,1.0,36.05263157894737,48.026315789473685
baseline,role_play_injection,12,1.0,67.91666666666667,82.58333333333333
defended,direct_prompt_injection,31,0.0,-16.06451612903226,-17.06451612903226
defended,keyword_stuffing,29,0.8275862068965517,1.6551724137931034,4.0344827586206895
defended,resume_inflation,38,0.21052631578947367,-9.763157894736842,-13.81578947368421
defended,role_play_injection,12,0.8333333333333334,3.3333333333333335,4.416666666666667
